keyword,nu,com,net,dk,checking_date
nedvejningafbil,1,0,0,1,2022-01-26 16-35-02
legobil,1,0,1,1,2022-01-26 16-35-02
morganbil,1,0,1,0,2022-01-26 16-35-03
biltjek,1,0,0,0,2022-01-26 16-35-03
streamerstilbil,1,0,0,0,2022-01-26 16-35-03
salgafbilprivat,0,0,0,0,2022-01-26 16-35-03
bilpolering,1,0,0,0,2022-01-26 16-35-03
indregistreringafbil,1,0,0,1,2022-01-26 16-35-04
folieringafbil,1,0,0,1,2022-01-26 16-35-05
epcbil,0,1,1,1,2022-01-26 16-35-06
hvadkosterdetathavebil,1,1,0,0,2022-01-26 16-35-06
beregneforsikringbil,1,1,0,0,2022-01-26 16-35-07
bilnummerplade,1,1,0,1,2022-01-26 16-35-07
bmwelbil,1,0,1,1,2022-01-26 16-35-07
lifttilbil,0,0,0,1,2022-01-26 16-35-07
hundegittertilbil,0,0,0,1,2022-01-26 16-35-07
fribilbeskatning,1,0,1,1,2022-01-26 16-35-08
billigbilleasing,1,1,1,1,2022-01-26 16-35-09
lexusbil,1,0,1,1,2022-01-26 16-35-10
advarselslamperbilsymboler,1,1,1,1,2022-01-26 16-35-10
forsikringafbil,1,0,1,1,2022-01-26 16-35-10
bilinfo,0,0,0,0,2022-01-26 16-35-10
chiptuningafbil,1,0,1,0,2022-01-26 16-35-10
bilvask,0,0,0,0,2022-01-26 16-35-11
poleringafbilpris,1,1,0,0,2022-01-26 16-35-11
bilmagasinet,0,0,0,0,2022-01-26 16-35-11
slikbil,0,1,1,0,2022-01-26 16-35-12
mini-leasebil,0,1,1,1,2022-01-26 16-35-13
vodskovbil,1,0,0,1,2022-01-26 16-35-13
bedstebrugtbil2020,1,1,0,1,2022-01-26 16-35-13
vwbrugtbil,1,1,0,1,2022-01-26 16-35-14
ifforsikringbil,0,0,0,1,2022-01-26 16-35-14
trygforsikringbil,0,1,1,1,2022-01-26 16-35-14
oliefyrtilbil,1,0,1,1,2022-01-26 16-35-14
brugtbilranders,0,0,0,1,2022-01-26 16-35-15
billigleasingafbil,0,0,1,1,2022-01-26 16-35-16
bluetoothtilbil,1,1,0,1,2022-01-26 16-35-16
korttidsleasingbil,1,1,0,1,2022-01-26 16-35-17
kaskoforsikringbil,1,1,0,1,2022-01-26 16-35-17
airconditionerbil,1,1,1,1,2022-01-26 16-35-17
bilstyling,0,0,1,0,2022-01-26 16-35-17
skrotpriserbil,1,1,0,0,2022-01-26 16-35-17
plug-inhybridbil,1,1,0,0,2022-01-26 16-35-18
releasingbil,1,0,0,1,2022-01-26 16-35-18
stickerstilbil,1,0,1,1,2022-01-26 16-35-19
brugtbilforhandler,1,0,0,1,2022-01-26 16-35-20
vwbil,1,0,1,1,2022-01-26 16-35-20
sporingafbilpris,1,1,0,1,2022-01-26 16-35-20
hvordanomregistrerermanenbil,1,0,1,1,2022-01-26 16-35-21
bilnyheder,0,0,0,0,2022-01-26 16-35-21
synsrapportbil,1,1,0,1,2022-01-26 16-35-21
registreringsnummerbil,0,1,1,1,2022-01-26 16-35-21
leasingafbilbillig,1,1,1,1,2022-01-26 16-35-22
synbil,1,0,1,0,2022-01-26 16-35-22
cykelholderbil,1,1,1,0,2022-01-26 16-35-23
ledlystilbil,1,1,1,1,2022-01-26 16-35-24
tabletholdertilbil,1,1,0,1,2022-01-26 16-35-24
brugthybridbil,1,0,1,1,2022-01-26 16-35-24
leaseenbil,1,1,1,1,2022-01-26 16-35-24
finansieringbil,0,0,1,1,2022-01-26 16-35-24
billigbilforsikring,0,0,0,0,2022-01-26 16-35-24
amerikanerbil,1,1,0,0,2022-01-26 16-35-25
billigbiltilsalg,0,0,1,0,2022-01-26 16-35-26
rustbeskyttelsebil,1,1,0,1,2022-01-26 16-35-27
tagtelttilbil,1,0,1,1,2022-01-26 16-35-27
kopholdertilbil,1,1,1,1,2022-01-26 16-35-27
ruteplannerbil,1,0,0,1,2022-01-26 16-35-28
gpstrackerbil,0,1,1,1,2022-01-26 16-35-28
lejningafbil,1,1,1,1,2022-01-26 16-35-28
billigsteleasingbil,1,1,1,1,2022-01-26 16-35-28
skrotbil,0,0,0,0,2022-01-26 16-35-29
fdmforsikringbil,0,1,1,1,2022-01-26 16-35-29
dibabil,1,1,0,1,2022-01-26 16-35-30
billigstebil,1,1,1,1,2022-01-26 16-35-31
airconditionbil,1,1,1,0,2022-01-26 16-35-31
hundeburetilbil,1,1,0,1,2022-01-26 16-35-31
bilspil,1,0,0,0,2022-01-26 16-35-31
mcqueenbil,1,1,1,1,2022-01-26 16-35-31
ladbil,1,0,0,0,2022-01-26 16-35-31
billeasingprivat,1,1,0,0,2022-01-26 16-35-32
brugtbiltilsalg,1,0,0,1,2022-01-26 16-35-33
polestarbil,1,1,1,1,2022-01-26 16-35-34
ruteplanbil,1,1,0,1,2022-01-26 16-35-34
mobilholderbil,1,1,0,1,2022-01-26 16-35-34
subwoofertilbil,1,1,1,1,2022-01-26 16-35-35
navigationtilbil,0,1,0,1,2022-01-26 16-35-35
streamertilbil,1,1,0,1,2022-01-26 16-35-35
coatingafbil,0,1,1,0,2022-01-26 16-35-35
omregistreringafbilpris,0,1,1,1,2022-01-26 16-35-36
konfiskeringafbil,1,0,1,1,2022-01-26 16-35-36
telttilbil,1,1,1,1,2022-01-26 16-35-37
danmarksbilligstebil,1,1,1,1,2022-01-26 16-35-37
bilauktionpoliti,1,1,1,1,2022-01-26 16-35-37
nummeroplysningenbil,1,0,1,1,2022-01-26 16-35-38
teslabil,1,1,1,1,2022-01-26 16-35-38
bilaktion,1,1,0,1,2022-01-26 16-35-38
bilfolie,1,0,0,0,2022-01-26 16-35-38
verdensgrimmestebil,1,0,0,1,2022-01-26 16-35-39
billigsteforsikringbil,1,1,0,1,2022-01-26 16-35-40
siddepudebil,1,1,0,1,2022-01-26 16-35-40
olsenbandenbil,1,1,0,1,2022-01-26 16-35-41
advarselslamperbil,1,0,0,1,2022-01-26 16-35-41
formel1bil,1,1,1,1,2022-01-26 16-35-41
lillebilmedautomatgear,1,1,1,1,2022-01-26 16-35-41
lejenbilforendag,1,0,0,1,2022-01-26 16-35-42
billigbrugtbil,1,1,0,0,2022-01-26 16-35-42
tinglysningbil,1,0,1,1,2022-01-26 16-35-42
langtidslejebil,1,1,1,1,2022-01-26 16-35-43
hvilkenoliebrugerminbil,1,1,1,1,2022-01-26 16-35-44
brintbil,1,0,1,0,2022-01-26 16-35-44
stelnummerbil,1,0,1,1,2022-01-26 16-35-44
ladabil,1,0,0,1,2022-01-26 16-35-45
elektriskbil,1,0,0,0,2022-01-26 16-35-45
blocketsebil,1,0,0,1,2022-01-26 16-35-45
dashcamtilbil,0,0,0,1,2022-01-26 16-35-45
brugtbilmedautomatgear,0,1,0,1,2022-01-26 16-35-46
bilservice,0,0,0,0,2022-01-26 16-35-46
korttidsleasingbrugtbil,0,0,1,1,2022-01-26 16-35-47
leasingafbilerhverv,1,1,0,1,2022-01-26 16-35-47
findejerafbil,1,0,1,1,2022-01-26 16-35-48
wvbil,1,1,0,1,2022-01-26 16-35-48
bilfinansiering,0,0,0,0,2022-01-26 16-35-50
legotechnicbil,1,0,0,1,2022-01-26 16-35-50
erhvervsleasingbil,1,0,1,1,2022-01-26 16-35-50
bilbasenbrugtbil,1,0,0,1,2022-01-26 16-35-51
leasingbilprivat,0,0,0,0,2022-01-26 16-35-53
bilradio,0,0,0,0,2022-01-26 16-35-53
