keyword,nu,com,net,dk,checking_date
finansieringbil,1,1,1,1,2022-01-25 13-22-25
bilregistrering,1,1,1,1,2022-01-25 13-22-25
tinglysningbil,1,1,1,1,2022-01-25 13-22-27
dashcamtilbil,1,1,1,1,2022-01-25 13-22-28
dibabil,1,1,1,1,2022-01-25 13-22-29
dufttilbil,1,1,1,1,2022-01-25 13-22-30
legobil,1,1,1,1,2022-01-25 13-22-32
serviceaftalebil,1,1,1,1,2022-01-25 13-22-32
lexusbil,1,1,1,1,2022-01-25 13-22-33
bildba,1,1,1,1,2022-01-25 13-22-34
bobbelbil,1,1,1,0,2022-01-25 13-22-34
bilpleje,0,0,0,0,2022-01-25 13-22-35
fjernstyretbilbenzin,1,1,1,1,2022-01-25 13-22-35
bilstyling,0,0,1,0,2022-01-25 13-22-35
chiptuningafbil,1,1,1,1,2022-01-25 13-22-36
leaseenbil,1,1,1,1,2022-01-25 13-22-38
ladabil,1,1,1,1,2022-01-25 13-22-38
kopholdertilbil,1,1,1,1,2022-01-25 13-22-39
brugtbilmedautomatgear,1,1,1,1,2022-01-25 13-22-41
cykelholderbil,1,1,1,1,2022-01-25 13-22-41
hjemisbil,1,1,1,1,2022-01-25 13-22-42
bilvurdering,1,0,1,0,2022-01-25 13-22-42
formel1bil,1,1,1,1,2022-01-25 13-22-44
releasingbil,1,1,1,1,2022-01-25 13-22-44
bedstemobilholdertilbil,1,1,1,1,2022-01-25 13-22-44
airconditionerbil,1,1,1,1,2022-01-25 13-22-45
nummeroplysningenbil,1,1,1,1,2022-01-25 13-22-45
advarselslamperbil,1,1,1,1,2022-01-25 13-22-47
leasingbilprivat,0,0,1,0,2022-01-25 13-22-48
billigsteleasingbil,1,1,1,1,2022-01-25 13-22-48
streamerstilbil,1,1,1,1,2022-01-25 13-22-50
bilservice,0,0,0,0,2022-01-25 13-22-51
bilinfo,0,0,0,0,2022-01-25 13-22-51
cobrabil,1,1,1,1,2022-01-25 13-22-53
gammelbil,1,1,1,1,2022-01-25 13-22-53
hvordanomregistrerermanenbil,1,1,1,0,2022-01-25 13-22-54
korttidsleasingbrugtbil,1,1,1,1,2022-01-25 13-22-54
advarselslamperbilsymboler,1,1,1,1,2022-01-25 13-22-55
bildele,1,0,1,0,2022-01-25 13-22-56
elektriskbil,1,0,1,0,2022-01-25 13-22-57
bilbasenbrugtbil,1,1,1,1,2022-01-25 13-22-57
bilbank,1,0,1,0,2022-01-25 13-22-57
opladertilbil,1,1,1,1,2022-01-25 13-22-58
bluetoothtilbil,1,1,1,1,2022-01-25 13-23-00
servicebil,1,1,1,0,2022-01-25 13-23-01
mobilholderbil,1,1,1,1,2022-01-25 13-23-01
lillebilmedautomatgear,1,1,1,1,2022-01-25 13-23-02
erhvervsleasingbil,1,1,1,1,2022-01-25 13-23-03
stabil,0,0,0,0,2022-01-25 13-23-05
vwbrugtbil,1,1,1,1,2022-01-25 13-23-05
trygforsikringbil,1,1,1,1,2022-01-25 13-23-06
siddepudebil,1,1,1,1,2022-01-25 13-23-06
bilfolie,1,0,0,0,2022-01-25 13-23-09
pawpatrolbil,1,1,1,1,2022-01-25 13-23-09
bilpolering,1,0,0,0,2022-01-25 13-23-09
ringstedbilauktion,1,1,1,1,2022-01-25 13-23-10
billigsteforsikringbil,1,1,1,1,2022-01-25 13-23-11
ladbil,0,0,0,0,2022-01-25 13-23-12
morganbil,1,1,1,1,2022-01-25 13-23-12
ruteplanbil,1,1,0,1,2022-01-25 13-23-15
bilvask,0,0,0,0,2022-01-25 13-23-15
coatingafbil,1,1,1,1,2022-01-25 13-23-17
oliefyrtilbil,0,1,1,1,2022-01-25 13-23-17
omregistreringafbilpris,1,1,1,1,2022-01-25 13-23-18
polobil,1,1,1,1,2022-01-25 13-23-20
billigstebil,1,1,1,1,2022-01-25 13-23-22
brugtbilvejle,1,1,1,1,2022-01-25 13-23-22
fribil,1,0,0,0,2022-01-25 13-23-23
lynetmcqueenbil,1,1,1,1,2022-01-25 13-23-26
turanbil,1,1,1,1,2022-01-25 13-23-28
blocketsebil,1,1,0,1,2022-01-25 13-23-28
vodskovbil,1,1,1,1,2022-01-25 13-23-33
billeasingprivat,1,1,1,0,2022-01-25 13-23-33
lakeringafbil,0,0,1,1,2022-01-25 13-23-38
brugtbiltilsalg,0,1,1,1,2022-01-25 13-23-43
grufmanbil,1,1,1,1,2022-01-25 13-23-43
billigbrugtbil,1,1,1,0,2022-01-25 13-23-48
billignybil,0,0,0,0,2022-01-25 13-23-53
langtidslejebil,0,1,1,1,2022-01-25 13-23-57
poleringafbilpris,0,1,1,1,2022-01-25 13-24-02
slikbil,1,1,1,0,2022-01-25 13-24-07
bedstebrugtbil2020,0,1,1,1,2022-01-25 13-24-12
fdmforsikringbil,1,1,1,1,2022-01-25 13-24-17
bmwelbil,1,1,1,1,2022-01-25 13-24-21
stickerstilbil,1,1,1,1,2022-01-25 13-24-26
bilradio,0,0,0,0,2022-01-25 13-24-31
