#,Keyword,Country,Difficulty,Volume,CPC,CPS,Parent Keyword,Last Update,SERP Features,Global volume,Traffic potential
21,stelnummer bil,dk,13,800,1.2,1.24,nummerplade,22/01/2022 14:14,"People also ask,Sitelinks,Image pack",800,297000
22,skrot bil,dk,19,800,1.6,1.44,skrotpræmie,21/01/2022 21:33,"Sitelinks,People also ask",1400,12000
23,brugt bil århus,dk,0,800,,,brugte biler aarhus,19/01/2022 12:41,,800,1100
24,bil uden udbetaling,dk,3,800,1.4,1.32,biler uden udbetaling,10/01/2022 22:33,"Adwords top,People also ask,Sitelinks",800,1400
25,køletaske til bil,dk,0,700,0.45,1.93,køletaske,09/01/2022 18:43,"Featured snippet,Sitelinks,People also ask",700,6300
26,rengøring af bil indvendig,dk,1,700,0.7,1.24,rengøring af bil,10/01/2022 05:39,"Featured snippet,People also ask,Sitelinks,Top stories,Videos",700,1600
27,politi bil,dk,0,700,0,0.17,politi køretøjer,11/01/2022 18:43,"Image pack,Sitelinks,Top stories,Videos",1000,60
28,billig bil forsikring,dk,32,700,9,1.22,billig bilforsikring,10/01/2022 13:46,"Adwords top,Featured snippet,Sitelinks,People also ask,Adwords bottom",800,2700
29,dæktryk bil,dk,0,700,0.45,1.4,dæktryk bil,11/01/2022 13:38,"Featured snippet,People also ask,Sitelinks",700,1300
30,amerikaner bil,dk,2,700,0.3,0.74,amerikanerbiler til salg,15/01/2022 19:35,"Featured snippet,Sitelinks",900,1700
31,beregne forsikring bil,dk,14,700,1.6,,bilforsikring,19/01/2022 14:26,"Adwords top,People also ask,Sitelinks",800,13000
32,bil registrering,dk,19,700,0.6,1.03,nummerplader,09/01/2022 02:40,"Sitelinks,People also ask,Image pack",1300,91000
33,bil dba,dk,0,700,,1.03,dba biler,18/01/2022 01:08,"Sitelinks,People also ask,Image pack",700,32000
34,bil vurdering,dk,5,700,0.4,1.73,bilvurdering,22/01/2022 00:52,"People also ask,Sitelinks",800,2100
35,advarselslamper bil symboler,dk,0,700,,,bil symboler betydelse,16/01/2022 07:38,"Image pack,People also ask,Sitelinks",700,1000
36,erhvervsleasing bil,dk,5,700,3,1.45,erhvervsleasing,12/01/2022 10:20,"Sitelinks,People also ask,Adwords bottom",800,4700
37,ringsted bil auktion,dk,2,700,0.8,,bilauktion ringsted,20/01/2022 06:24,"Sitelinks,Knowledge panel,Image pack",700,1500
38,bil vask,dk,9,700,0.2,0.56,bilvask,12/01/2022 19:26,"Adwords top,People also ask,Sitelinks,Top stories,Videos",1100,6200
39,polo bil,dk,2,700,0.4,0.41,polo,23/01/2022 02:30,"People also ask,Knowledge panel,Sitelinks",1500,3100
40,lynet mcqueen bil,dk,0,700,0.25,0.81,lynet mcqueen bil,10/01/2022 12:25,"Sitelinks,Knowledge panel,Top stories,Videos,People also ask",1700,500
41,polestar bil,dk,0,700,,,polestar 2,11/01/2022 10:57,"Adwords top,Sitelinks,People also ask,Top stories,Videos,Image pack",2100,7100
42,led lys til bil,dk,1,700,0.4,1.49,led lys bil,11/01/2022 04:44,"Sitelinks,People also ask,Top stories,Videos,Image pack",900,450
43,ruteplanner bil,dk,6,700,0.03,1.2,ruteplanner bil,21/01/2022 16:32,Sitelinks,700,1000
44,indregistrering af bil,dk,3,700,1.3,1,afmeld bil,22/01/2022 10:36,"Featured snippet,People also ask,Sitelinks",800,5700
45,bil finansiering,dk,2,700,3.5,1.34,bil finansiering,16/01/2022 22:26,People also ask,900,1700
46,subwoofer til bil,dk,0,700,0.35,1.72,subwoofer til bil,21/01/2022 22:05,"Sitelinks,Image pack",800,1100
47,lift til bil,dk,1,700,0.4,1.16,lift til bil,22/01/2022 21:30,"Sitelinks,Image pack",700,300
48,indvendig rengøring af bil,dk,0,700,1.2,1.22,rengøring af bil,18/01/2022 15:14,"Adwords top,Featured snippet,Sitelinks,People also ask,Top stories,Videos",700,1700
49,håndstøvsuger til bil,dk,0,700,0.5,1.69,håndstøvsuger til bil,14/01/2022 19:37,"Shopping results,Thumbnails,Featured snippet,Sitelinks",700,700
50,dashcam til bil,dk,3,700,0.6,,dashcam,19/01/2022 00:44,"Sitelinks,People also ask,Image pack",800,3600
51,hundetæppe til bil,dk,0,700,0.45,2.06,hundetæppe til bil,08/01/2022 03:27,"Sitelinks,Image pack",700,700
52,lease en bil,dk,33,700,1.1,1.33,leasing af bil,12/01/2022 07:36,"Adwords top,People also ask,Sitelinks",800,16000
53,leasing bil privat,dk,12,700,0.5,1.58,privat leasing,09/01/2022 13:35,"Sitelinks,People also ask",1400,8600
54,bil bank,dk,12,700,3,1.03,bil bank,14/01/2022 14:01,"Sitelinks,Knowledge panel",1700,800
55,vw brugt bil,dk,2,700,,,vw brugt bil,08/01/2022 23:59,Sitelinks,700,1200
56,lad bil,dk,0,700,0.35,,lad bil,19/01/2022 05:10,"Sitelinks,Image pack",700,450
57,oliefyr til bil,dk,1,700,0.3,1.58,oliefyr til bil,15/01/2022 10:44,"Featured snippet,Sitelinks,People also ask",700,500
58,brugt bil vejle,dk,5,700,0.3,,brugt bil vejle,11/01/2022 21:55,Sitelinks,700,350
59,turan bil,dk,2,700,0.3,0.55,vw touran,15/01/2022 03:29,"Knowledge panel,Sitelinks",800,2900
60,vodskov bil,dk,6,700,,,autotorvet,18/01/2022 23:27,"Sitelinks,Image pack",700,6600
61,afgift på bil,dk,7,700,,1.22,afgift på biler,09/01/2022 12:11,"Adwords top,Featured snippet,People also ask",800,4200
62,bil og co,dk,0,700,0.02,0.92,bil og co,22/01/2022 23:47,"Sitelinks,Top stories,Videos",700,1100
63,tjek bil dk,dk,28,700,,,tjek nummerplade,21/01/2022 01:48,"Sitelinks,People also ask,Knowledge panel",700,120000
64,rustbeskyttelse bil,dk,3,600,0.3,1.05,dinitrol,12/01/2022 21:47,"Adwords top,People also ask,Sitelinks,Image pack",800,1900
65,verden første bil,dk,0,600,,,verden første bil,22/01/2022 13:31,"Featured snippet,People also ask,Image pack",600,700
66,ledlys til bil,dk,1,600,,,ledlys til bil,18/01/2022 23:38,"Shopping results,Thumbnails,People also ask,Sitelinks,Top stories,Videos",700,600
67,billig forsikring bil,dk,28,600,4,1.43,alka bilforsikring,12/01/2022 21:27,"Adwords top,Sitelinks,People also ask",800,17000
68,navigation til bil,dk,0,600,0.5,1.17,gps,20/01/2022 12:47,"People also ask,Sitelinks",600,1000
69,trådløs oplader til bil,dk,0,600,,1.4,trådløs oplader til bil,22/01/2022 02:00,"Featured snippet,Sitelinks,Top stories,Videos",600,700
70,synsrapport bil,dk,5,600,0.6,1.18,synsrapport,17/01/2022 01:59,"Sitelinks,People also ask,Image pack",600,15000
71,udlejning af bil,dk,57,600,2.5,1.02,biludlejning,12/01/2022 23:18,"Adwords top,Sitelinks,People also ask",600,6700
72,verdens grimmeste bil,dk,0,600,0,0.26,grimmeste biler,17/01/2022 10:56,"Image pack,Sitelinks,People also ask,Top stories,Videos",600,200
73,find bil,dk,57,600,0.25,1.13,tjek nummerplade,15/01/2022 04:22,"Sitelinks,People also ask",700,135000
74,sædeovertræk til bil,dk,0,600,0.35,1.83,sædeovertræk til bil,14/01/2022 03:58,"Sitelinks,Shopping results,Thumbnails,Image pack",600,1500
75,batterier til bil,dk,3,600,0.2,,bilbatteri,13/01/2022 15:32,"Sitelinks,People also ask",600,2800
76,lexus bil,dk,1,600,0.8,,lexus,10/01/2022 16:49,"Sitelinks,People also ask,Image pack,Top stories,Videos,Thumbnails",1100,1500
77,hjem is bil,dk,1,600,0.02,1.08,hjemis,13/01/2022 04:37,"Sitelinks,People also ask,Knowledge panel",700,52000
78,vægtafgift bil,dk,11,600,0.8,1.18,vægtafgift bil,23/01/2022 07:43,"Featured snippet,People also ask,Sitelinks",600,1300
79,bil service,dk,2,600,1.3,0.95,serviceeftersyn,23/01/2022 00:21,People also ask,2000,900
80,restgæld bil,dk,3,600,0.04,1.42,gæld i bil,08/01/2022 02:33,"People also ask,Sitelinks",600,3900
81,købe ny bil,dk,0,600,1.2,,købe ny bil,15/01/2022 14:27,"Sitelinks,People also ask,Image pack",600,450
82,bil auktion politi,dk,4,600,,,politi auktion biler,19/01/2022 20:39,"People also ask,Sitelinks,Image pack",600,800
83,olsen banden bil,dk,0,600,0,0.96,olsen banden bil,14/01/2022 11:42,"Featured snippet,People also ask,Top stories,Videos,Sitelinks",600,200
84,brian bil,dk,6,600,0.5,0.36,brian bil,16/01/2022 17:07,"Image pack,Sitelinks,Top stories,Videos",600,60
85,billigste leasing bil 2020,dk,6,600,,,billig leasing,13/01/2022 23:49,,600,9100
86,hvad koster det at have bil,dk,0,600,3,1.55,hvad koster det at have bil,15/01/2022 22:07,"Featured snippet,People also ask,Sitelinks",600,800
87,mpv bil,dk,0,600,1,0.73,mpv bil,14/01/2022 22:08,"People also ask,Sitelinks,Image pack",800,300
88,billig bil til salg,dk,19,600,1,1.28,biltorvet,15/01/2022 14:13,Sitelinks,600,70000
89,leasing bil erhverv,dk,6,600,2,1.53,fleggaard leasing,13/01/2022 11:26,"Sitelinks,People also ask",600,4400
90,ny bil uden udbetaling,dk,2,600,3.5,1.64,ny bil uden udbetaling,15/01/2022 20:09,"People also ask,Sitelinks",600,1400
91,up bil,dk,1,600,0.09,0.62,vw up,12/01/2022 14:22,"People also ask,Knowledge panel,Sitelinks",900,11000
92,salg af bil privat,dk,4,600,1,1.27,salg af bil privat,12/01/2022 13:26,"Featured snippet,People also ask,Sitelinks",600,700
93,bil støvsuger,dk,0,600,0.5,1.55,bil støvsuger,15/01/2022 16:56,"Sitelinks,Top stories,Videos",800,900
94,duft til bil,dk,0,600,0.8,1.36,duft til bilen,14/01/2022 01:28,"Sitelinks,Image pack",800,1000
95,måtter til bil,dk,0,600,0.6,1.82,bilmåtter,16/01/2022 00:19,"Featured snippet,Sitelinks",600,800
96,kopholder til bil,dk,0,600,0.3,1.88,kopholder til bil,13/01/2022 13:11,"Shopping results,Thumbnails,Sitelinks,Image pack",600,600
97,billigste leasing bil,dk,8,600,1.3,1.6,billig leasing,11/01/2022 09:41,"People also ask,Sitelinks",800,9700
98,bilbasen brugt bil,dk,5,600,,,bilbasen brugte biler,19/01/2022 17:14,"Sitelinks,Image pack",600,1100
99,lærerstandens brandforsikring bil,dk,0,600,0.04,0.98,lærerstandens brandforsikring bil,19/01/2022 18:47,"People also ask,Sitelinks,Image pack",700,1800
100,tryg forsikring bil,dk,1,600,1.2,0.97,bilforsikring,15/01/2022 04:59,"Sitelinks,People also ask,Adwords bottom",1200,5000
101,bil kort,dk,0,600,0.2,,bil kort,19/01/2022 08:53,"Sitelinks,Image pack",600,150
102,folie på bil,dk,1,600,0.6,1.47,folie til bil,14/01/2022 17:55,"People also ask,Top stories,Videos,Sitelinks",700,3200
103,sporing af bil pris,dk,0,600,0.3,1.8,sporing af bil pris,09/01/2022 01:54,"Featured snippet,People also ask,Sitelinks",600,600
104,cykelholder til bil uden træk,dk,0,600,0.6,1.41,cykelholder til bil uden træk,16/01/2022 02:51,"People also ask,Sitelinks,Image pack",600,1000
105,brint bil,dk,5,600,0.02,1.09,toyota mirai,15/01/2022 03:39,"People also ask,Sitelinks,Knowledge panel,Top stories,Videos",600,2300
106,bil tjek,dk,34,600,0.04,1.06,nummerplader,12/01/2022 17:02,"Sitelinks,Knowledge panel,People also ask",600,94000
107,køb af brugt bil,dk,13,600,0.6,1.06,køb af brugt bil,11/01/2022 16:26,"Featured snippet,Sitelinks,People also ask",600,900
108,køb ny bil,dk,1,600,3,1.58,ny bil,16/01/2022 21:21,"Sitelinks,People also ask,Image pack",600,1300
109,nedvejning af bil,dk,0,600,1,1.39,nedvejning af bil,22/01/2022 14:10,"Sitelinks,People also ask,Image pack",600,500
110,el lader til bil,dk,9,600,,,lader til elbil,20/01/2022 10:16,"Sitelinks,People also ask,Image pack",600,3900
111,sædebeskytter bil,dk,0,500,0.6,,sædebeskytter bil,20/01/2022 08:04,"Shopping results,Thumbnails,Featured snippet,Sitelinks",500,450
112,tesla bil,dk,4,500,0.5,0.71,tesla model s,22/01/2022 08:47,"Sitelinks,People also ask,Image pack",2200,9400
113,leasing af brugt bil uden udbetaling,dk,2,500,1.1,1.96,leasing af brugt bil uden udbetaling,15/01/2022 08:51,"Featured snippet,People also ask,Sitelinks",500,1400
114,skrotpriser bil,dk,9,500,0.35,1.65,skrotpriser biler,15/01/2022 09:56,"Featured snippet,People also ask,Sitelinks",600,4300
115,årets bil 2020,dk,0,500,,1.19,årets bil 2020,14/01/2022 14:31,"Featured snippet,People also ask,Sitelinks,Image pack",800,350
116,brugt bil forhandler,dk,32,500,1,1.82,biltorvet,13/01/2022 21:25,Sitelinks,500,71000
117,tinglysning bil,dk,0,500,0.2,1.17,tinglysning bil,15/01/2022 01:03,"People also ask,Sitelinks",500,700
118,chip tuning af bil,dk,13,500,,,chiptuning,14/12/2021 17:22,"Sitelinks,People also ask,Image pack",500,8800
119,nummeroplysningen bil,dk,50,500,,,nummerplade,22/01/2022 14:58,"Sitelinks,People also ask,Image pack",500,297000
120,korttidsleasing brugt bil,dk,1,500,0.9,1.96,korttidsleasing,12/01/2022 17:25,"People also ask,Sitelinks,Image pack",600,2500
121,billig leasing af bil,dk,7,500,1.8,1.67,billig leasing,09/01/2022 09:23,"Sitelinks,People also ask",600,8600
122,hundebure til bil,dk,1,500,0.7,1.77,hundebur til bil,16/01/2022 12:05,"Sitelinks,People also ask,Image pack",500,5500
123,plug-in hybrid bil,dk,0,500,,,hybrid bil,19/01/2022 13:41,"Sitelinks,People also ask,Top stories,Videos",500,12000
124,fjernstyret bil benzin,dk,1,500,0.45,1.93,nitro biler,19/01/2022 09:01,"Sitelinks,Top stories,Videos,Image pack",500,400
125,air conditioner bil,dk,0,500,,,klimaanlæg bil køler ikke,16/12/2021 13:39,"People also ask,Sitelinks,Top stories,Videos",500,200
126,el bil børn,dk,0,500,0,1.03,el bil til børn,19/01/2022 12:35,"Shopping results,Thumbnails,Featured snippet,Sitelinks,Top stories,Videos",600,5500
127,bil dele,dk,57,500,1.2,1.34,autodoc,19/01/2022 19:12,"Adwords top,Sitelinks,People also ask",500,45000
128,sta bil,dk,17,500,,,sta bil,19/01/2022 02:00,"Sitelinks,Shopping results,Thumbnails,Top stories,Videos,Image pack",4500,200
129,billigste forsikring bil,dk,28,500,3,,alka bilforsikring,12/01/2022 21:31,"Adwords top,Sitelinks,People also ask,Adwords bottom",600,17000
130,coating af bil,dk,0,500,0.1,1.75,keramisk coating,15/01/2022 19:05,"Featured snippet,People also ask,Top stories,Videos,Sitelinks,Image pack",500,900
131,bil lån beregner,dk,13,500,6,1.48,billån,31/12/2021 04:44,"Sitelinks,People also ask",500,6500
132,billigste bil,dk,0,500,2,1.34,billigste bil,10/01/2022 03:31,"Featured snippet,People also ask,Sitelinks",600,900
133,gummimåtter til bil,dk,0,500,0.7,1.46,gummimåtter,12/01/2022 14:40,"Featured snippet,Sitelinks",600,900
134,brugt bil næstved,dk,11,500,0.15,2.81,brugt bil næstved,11/01/2022 17:02,Sitelinks,500,450
135,blocket se bil,dk,12,500,,,blocket bilar,20/12/2021 17:19,"Sitelinks,Image pack",1500,3400
136,bil leasing privat,dk,13,500,1.5,1.7,privat leasing,10/12/2021 09:05,"Adwords top,Sitelinks,Knowledge panel,People also ask,Adwords bottom",800,7400
137,lakering af bil,dk,0,500,0.25,1.31,omlakering af bil,23/01/2022 05:26,"Featured snippet,People also ask,Top stories,Videos,Sitelinks",500,450
138,bil tilbehør,dk,10,500,0.5,1.25,biludstyr,19/01/2022 13:23,Sitelinks,800,1500
139,brugt bil til salg,dk,39,500,0.2,1.38,biltorvet,15/01/2022 15:19,"Sitelinks,People also ask",600,70000
140,brugt bil køge,dk,11,500,0.25,,mp biler,11/01/2022 13:55,"Sitelinks,Image pack",500,2700
141,kay bojesen bil,dk,0,500,0.5,0.93,kay bojesen bil,11/01/2022 12:08,"Sitelinks,Image pack",600,150
142,bil aktion,dk,13,500,0.4,1.14,bilauktion,14/01/2022 23:36,Sitelinks,700,5800
143,gps tracker bil,dk,0,500,0.7,1.88,gps tracker bil,16/01/2022 05:45,"Featured snippet,People also ask,Sitelinks",1600,400
144,grøn afgift bil,dk,7,500,0.3,1.19,grøn ejerafgift 2021,16/01/2022 01:15,"People also ask,Sitelinks",500,8100
145,årets bil,dk,1,500,0.35,1.17,årets bil,18/01/2022 00:19,"Sitelinks,Knowledge panel,People also ask,Top stories,Videos,Image pack",900,200
146,find ejer af bil,dk,15,500,0.2,1.82,tjek nummerplade,13/01/2022 03:15,"Sitelinks,Image pack",500,118000
147,hundebur til bil biltema,dk,0,500,,,hundebur,22/12/2021 21:53,"Featured snippet,Sitelinks",500,450
148,hunderampe til bil,dk,0,500,0.7,1.63,hunde rampe,11/01/2022 22:19,"Sitelinks,Image pack",600,1000
149,værditab bil,dk,0,500,1.1,1.59,værditab bil,06/01/2022 08:04,"Featured snippet,People also ask,Sitelinks,Image pack",500,200
150,bobbel bil,dk,0,450,0.4,0.2,bobbel,23/12/2021 12:19,"Sitelinks,People also ask",450,100
151,cykelanhænger til bil,dk,1,450,0.3,1.06,cykelholdere,06/01/2022 00:04,"Sitelinks,People also ask,Image pack",500,6300
152,barnesæde bil,dk,1,450,0.2,0.54,autostol regler,22/01/2022 11:32,"People also ask,Sitelinks,Image pack",450,2500
153,bedste mobilholder til bil,dk,0,450,0.9,1.44,bedste mobilholder til bil,30/12/2021 11:39,"Sitelinks,Image pack",450,300
154,hvordan omregistrerer man en bil,dk,7,450,0.25,1.01,omregistrering af bil,14/12/2021 01:10,"Featured snippet,People also ask,Sitelinks,Image pack",450,27000
155,beregn afgift på bil,dk,7,450,0.7,1.42,beregn afgift på bil,22/01/2022 23:10,"Sitelinks,People also ask",500,3800
156,mobilholder bil,dk,0,450,0.9,1.43,mobilholder til bil,19/01/2022 02:41,Featured snippet,2400,7300
157,bil polering,dk,1,450,0.8,1.31,polering af bil,14/01/2022 02:36,"People also ask,Top stories,Videos,Sitelinks",800,800
158,lån penge til bil,dk,18,450,11,1.37,santander billån,16/01/2022 08:07,"Adwords top,People also ask,Sitelinks,Adwords bottom",450,8000
159,ruteplan bil,dk,6,450,0,1.25,krak kort,01/01/2022 00:11,Sitelinks,450,230000
160,bil køb,dk,46,450,0.9,1.34,biltorvet,13/01/2022 03:22,"Sitelinks,People also ask",500,71000
161,wv bil,dk,21,450,0.1,0.78,vw,20/12/2021 04:52,"Sitelinks,Image pack",500,71000
162,fri bil beskatning,dk,6,450,0.01,1.44,beskatning af fri bil,03/01/2022 07:46,"People also ask,Sitelinks",450,3400
163,hvor meget må min bil trække,dk,5,450,0,1.55,hvor meget må min bil trække,20/01/2022 07:28,"Featured snippet,People also ask,Sitelinks",500,1800
164,bil nyheder,dk,4,450,0.4,1.74,bil nyheder,25/12/2021 21:33,Sitelinks,450,250
165,mcqueen bil,dk,0,450,0.45,0.84,lynet mcqueen bil,05/01/2022 11:24,"Sitelinks,Knowledge panel,Top stories,Videos",900,450
166,import af bil,dk,4,450,1,1.43,import af bil,09/01/2022 03:21,"Featured snippet,People also ask,Sitelinks",450,600
167,mini-lease bil,dk,7,450,,,minilease,20/01/2022 14:37,"People also ask,Sitelinks,Top stories,Videos",450,3600
168,hvilken bil skal jeg vælge,dk,0,450,0.45,1.66,hvilken bil skal jeg vælge,07/01/2022 00:48,"People also ask,Sitelinks,Image pack",500,300
169,tagtelt til bil,dk,0,450,0.2,1.85,tagtelt bil,14/12/2021 19:31,"Sitelinks,Image pack",450,700
170,køb af bil,dk,46,450,1.4,0.99,biltorvet,14/01/2022 01:20,"People also ask,Sitelinks",500,71000
171,billigste leasing bil 2021,dk,6,450,,,leasing af bil billig,01/01/2022 17:25,"Featured snippet,People also ask,Sitelinks",500,2000
172,bil med automatgear,dk,0,450,0.1,1.11,biler med automatgear,21/01/2022 10:19,"People also ask,Sitelinks,Top stories,Videos",450,1000
173,brugt hybrid bil,dk,0,450,,,brugt hybrid bil,12/01/2022 14:22,People also ask,450,600
174,vw bil,dk,5,450,0.2,,vw,12/01/2022 06:57,"Sitelinks,People also ask,Image pack",600,71000
175,bil styling,dk,10,450,0.2,2.24,extreme car parts,15/12/2021 10:26,"Sitelinks,Top stories,Videos",1600,1500
176,fjernstyret bil til børn,dk,0,450,0.7,1.31,fjernstyret bil børn,22/01/2022 08:40,"Sitelinks,Top stories,Videos,Image pack",450,1800
177,formel 1 bil,dk,0,450,0.3,0.42,formel 1,11/12/2021 19:48,"Sitelinks,People also ask,Knowledge panel,Top stories,Videos",1100,7000
178,cobra bil,dk,0,450,0.45,0.27,ac cobra,25/12/2021 01:29,"Image pack,Sitelinks",1000,90
179,service bil,dk,2,450,1.4,0.89,serviceeftersyn,14/01/2022 11:06,"Adwords top,People also ask,Sitelinks,Adwords bottom",3100,900
180,bil folie,dk,1,450,0.8,1.51,folie til bil,01/01/2022 23:47,"People also ask,Sitelinks,Top stories,Videos",900,3000
181,beslaglæggelse af bil,dk,0,450,,1.32,konfiskerede biler,09/01/2022 21:45,"People also ask,Sitelinks",450,250
182,pære til bil,dk,3,450,0.15,1.05,led pærer til bil,06/01/2022 07:19,"People also ask,Sitelinks",500,900
183,forsikring af bil,dk,25,450,6,1.14,alka bilforsikring,17/01/2022 01:45,"Sitelinks,People also ask",450,21000
184,overtræk til bil,dk,0,450,0.35,1.37,overtræk til bil,19/01/2022 17:32,"Sitelinks,Image pack",450,450
185,epc bil,dk,0,450,,,epc bil,18/01/2022 01:59,"Sitelinks,People also ask",700,300
186,bil magasinet,dk,3,450,0.45,0.99,bilmagasinet,15/01/2022 02:39,"Sitelinks,Knowledge panel,Top stories,Videos",700,7700
187,automatgear bil,dk,0,450,0.5,0.95,bil med automatgear,23/01/2022 07:34,"Featured snippet,People also ask,Sitelinks",450,1000
188,brugt bil randers,dk,0,450,0.6,5.56,brugt bil randers,25/12/2021 09:55,"Sitelinks,Image pack",450,1600
189,telt til bil,dk,0,450,0.45,1.48,telt til bil,30/12/2021 05:42,"Sitelinks,Image pack",1400,450
190,hvad må min bil trække nummerplade,dk,5,450,,,trailer nummerplade,16/01/2022 00:29,"Featured snippet,People also ask,Sitelinks",450,350
191,finansiering bil,dk,2,450,5,1.43,finansiering bil,10/01/2022 20:45,People also ask,1000,600
192,skånska bil,dk,0,450,0.01,,skånska bil,16/12/2021 05:46,"Knowledge panel,Sitelinks,Image pack",450,90
193,bil pleje,dk,18,450,0.15,1.37,bilpleje,27/12/2021 23:49,Sitelinks,500,800
194,releasing bil,dk,4,400,0.8,1.62,leasing af brugt bil,19/01/2022 15:42,"Knowledge panel,People also ask,Sitelinks",500,3400
195,gammel bil,dk,0,400,0.15,0.26,gamle biler,04/01/2022 03:20,"Image pack,Sitelinks",800,200
196,hvornår må man køre bil efter alkohol,dk,2,400,1.9,1.54,promilleberegner,16/12/2021 20:07,"Featured snippet,People also ask",400,150
197,hvornår skal bil synes,dk,3,400,0.3,,hvornår skal min bil synes,03/01/2022 19:00,"Featured snippet,People also ask,Sitelinks",400,1100
198,lille bil med automatgear,dk,0,400,1.8,1.59,lille bil med automatgear,15/12/2021 10:20,"Sitelinks,People also ask,Image pack",400,450
199,gå bil,dk,0,400,0.45,0.76,gåbil til børn,28/12/2021 04:13,"Featured snippet,Sitelinks",1000,900
200,paw patrol bil,dk,0,400,0.5,0.87,paw patrol biler,21/01/2022 21:18,"Image pack,People also ask,Top stories,Videos",1000,350
201,hedin bil spånga,dk,0,400,,,hedin bil spånga,01/01/2022 21:23,"Knowledge panel,Sitelinks,Image pack",1200,200
202,foliering af bil,dk,1,400,0.5,1.62,folie til bil,02/01/2022 17:22,"Featured snippet,People also ask,Sitelinks,Top stories,Videos",400,2200
203,billig bil leasing,dk,11,400,1.4,2.26,billig leasing,14/01/2022 07:10,"People also ask,Sitelinks",450,9200
204,leje bil københavn,dk,5,400,3.5,1.38,biludlejning københavn,23/01/2022 06:10,"People also ask,Sitelinks,Image pack",450,1500
205,lej en bil for en dag,dk,15,400,1.2,1.59,gomore lej bil,26/12/2021 19:25,"Adwords top,People also ask,Sitelinks",400,7700
206,leasing af bil erhverv,dk,6,400,2.5,1.37,erhvervsleasing,09/01/2022 13:01,"Featured snippet,People also ask,Sitelinks",400,800
207,danmarks billigste bil,dk,0,400,3,1.14,billigste bil,02/01/2022 01:44,"Featured snippet,Sitelinks,People also ask",400,1000
208,solafskærmning bil,dk,0,400,0.8,1.24,solafskærmning bil,07/01/2022 19:37,"Featured snippet,Sitelinks",400,200
209,serviceaftale bil,dk,0,400,1.7,1.71,serviceaftaler,13/12/2021 07:15,People also ask,450,350
210,den første bil,dk,0,400,1.9,0.88,verden første bil,08/01/2022 09:45,"Featured snippet,People also ask,Sitelinks,Image pack",400,600
211,cykelholder bil,dk,0,400,0.7,1.39,cykelholder til bil,15/01/2022 19:45,"Featured snippet,People also ask,Sitelinks",450,3200
